userName,content,score,at
Komenk Kusuma,"Bener² menguras otaaaakkkk, mantaaapppp min.... 👍👍👍👍👍",5,2021-10-04 13:34:30
simeon lapuizer,Terlalu menyusahkan pemain karena stamina yang dipakai sangat boros dan terpaksa harus menonton iklan. Terlihat jelas pemain digiring untuk mau tidak mau harus menonton iklan demi bisa melanjutkan. Jadi tidak ada kepuasa dalam bermain game. Padahal grafik game dan jalan ceritanya bagus.,1,2021-10-04 11:00:03
Nabila nur Husnina,Game yang sangat bagus tetapi untuk menunggu energi sangat lama,4,2021-10-01 22:30:58
Herman Bacek,Cocok seleraku Terimakasih,5,2021-10-01 13:13:56
Alvino Adellio Dasha,Ok,5,2021-10-01 02:00:42
cahaya bening,game nya bagus.energi boros.ngisinya lamaaaaaaaaaaa...,4,2021-09-30 12:04:58
Farah Diva,Masih dalam percobaan!,4,2021-09-30 10:23:52
Ummy Kalsum,"Bagus, gue saranin buat yg suka game detektif ato misteri mending download game ini",5,2021-09-30 02:07:26
Asep Ridwan,"Payah, developer nya malas respon ulasan. Bangkrut kali, wakakkakaka..",2,2021-09-27 15:14:06
suci limbalo,Baguuuuuusssss deh gamenya,5,2021-09-27 13:01:47
Eny Verdy,Adventure game & puzzle game best ever in the games,5,2021-09-27 13:01:09
Jendra C4n,"Kekurangannya di energi yang terlalu lama dan hanya sedikit, padahal setiap babak butuh banyak energi🥴",2,2021-09-27 00:09:07
Arnyta Nyta,Good,5,2021-09-26 09:26:48
latifah awaliah,"Sebenernya suka bgt sma game ini,cman trllu ngabisin energi baru aja maen sbntar udh abis lagi. Trs klo maen game ini hp jd panas. Prnh nyoba d 2 hp yg brbeda ttep panas. Jd aku unistall deh",3,2021-09-26 02:47:47
Ys Can-dra (whY can_dra),"Waiting for the next chapter Btw this is a good mistery game ever the mistery, the case, its do good",5,2021-09-26 02:36:05
Diah Puspita Sari,Finsiapc odubei qpib yang paling sering,3,2021-09-25 14:26:56
Diah Kusumawati,Oke lah,4,2021-09-24 10:43:33
Enjel Luciantika Arnedy,Kapan update lagi?,5,2021-09-24 03:51:48
gatot sucahyo,Keren,5,2021-09-23 04:12:05
Desman Syah,Mysterious,5,2021-09-22 22:36:19
lidya rahayu,Semoga update secepat nyaa... udh nunggu 1tahun tpi masih blm update,3,2021-09-22 10:41:53
Wulya Martayadi,Mebgasah daya fokus,5,2021-09-22 10:14:14
huzaimah kadri,Butuh bahasa Indonesia min,5,2021-09-22 05:09:52
trisna abdi,Great,5,2021-09-22 04:45:06
Imma RS,Bagus,5,2021-09-21 14:05:32
Suryo Aja,"Alur cerita bagus , energi kelamaan , next chapter entah kapan",4,2021-09-20 18:33:09
Febriana Nur Sabrina,"Seru padahal, tapi energinya cepet abis banget. Cuma jalan2 aja abis wkwkwk",3,2021-09-20 07:31:16
Anis Syntia,"Gamenya bagusss. Recomend buat yang suka game hiden objek misteri. Minusnya energy cepat habis dan harus nunggu 8 menit baru dapet free 1 energi. Mahal 😅. Kelamaan juga, karna sekali main aja membutuhkan ratusan energy, itupun cepat habis. Alur ceritanya bagus. Gambarnya juga jelas. Oya buat yang pertama main, harus dibaca juga percakapanya biar tau cara mainnya.",5,2021-09-20 06:22:45
Siti rani,Baguss bgtttt,5,2021-09-19 10:27:45
Elvira PD,"It's a good game, I really like it. The story in the game also entertaining. But the time to wait for the energy are waaaaaaaay to long. I wait for almost 24 hours yet the energy bar isn't full",5,2021-09-18 12:25:14
Tinton Sudarsono,Banyakkan cutscene baik pembicaran atau yang lain,5,2021-09-18 03:29:01
Marda Lena,Nice,4,2021-09-17 14:23:25
ika sweety,Good,5,2021-09-17 14:18:24
Wiji Novieyanti,"Game nya seru, keren, story nya mudah di pahami dan gk gampang ketebak, buat dapetin energi cukup mudah krna bisa liat iklan buat dpetin 10 energinya, tinggal part 3 nih masih coming soon",5,2021-09-17 01:18:56
dede nurzaman,Goooddddddd,5,2021-09-16 14:36:43
Tasya Bee,"Saya suka dengan game seperti ini, tapi baru kali ini main game seperti ini harus pakai energy... Buang"" Waktu dan bikin malas mainnya, game lain yg sama seperti ini tidak pakai energy, seperti game New York Mysteries keren abis... Buang saja energynya biar yg main juga enjoy..",5,2021-09-15 12:20:42
Masni Sinaga,Ok..good game,5,2021-09-15 05:44:20
Marissa Kartika Bella,Good sekaleh,5,2021-09-15 01:01:40
mullah akra,Sebaik nya ada ada bahasa Indonesia nya,5,2021-09-13 05:51:08
Muhammad Syukri,Part 3 nya kapan min..,5,2021-09-12 01:59:39
holyza handika,"Refill energi nya lamaaaa, keburu lupa cerita nya, lama2 bikin muak nunggu energi kelamaan. padahal game nya bagus",1,2021-09-11 11:04:19
Imelda Supono,Good,5,2021-09-11 01:24:27
Jihan Mevia Angelina,Ditunggu nihh buat chapter ke 2 nyaaa,5,2021-09-10 11:07:27
Listyawati Khumairah,"Gamenya KEREN BANGET,, tape kendala selalu di energy,, saya ngisi energy cuma bs topup,, mau liat iklan bgung dimananya,, energy LAMAAAAAA bgt keisinya.. Tp game keren gini tolong dong di permudah mainnya,, energy nya ditambah opsi mendapatkannya",2,2021-09-09 13:10:15
Dendi Winoto,Energinya lama,3,2021-09-08 15:43:56
Haji Noey,Good game,5,2021-09-07 07:06:43
Siti Devi,Mendapat energinya yg susah,4,2021-09-07 03:38:57
Anya Sanytosa,"Game seru banget, tapi ngumpulin energinya terlalu lama, terus naiknya juga lama banget, tolong dipercepat sedikik dong",5,2021-09-06 01:05:38
Thariq Farrasandi.C,"Sumpah demi apa ini game seru banget anjir,mulai dari story nya,alurnya, suasana nya,jadi kerasa film misteri banget,tapi sayang banget energi nya lamanya minta ampun Refill nya sehingga saya muak lama2,dan lebih memilih lihat alur cerita nya di YouTube",1,2021-09-05 18:28:42
NameLess,"Game teka teki terbaik menurut gw,selain grafiknya yg bagus alur cerita dalam permainannya juga menarik dan ga bikin bosen dan selalu bikin penasaran buat ngungkapin teka tekinya. Sekian Terima Gaji •_•",5,2021-09-05 14:58:01
Vierril Kevana,"The game is not bad & very good. It should be quick to recover the energy and so that when do something don't have too much energy (ex, when find an item, don't spend 5/10/15/20 energy, just 5/3/2/1 energy it's much better and there will be many fans to download this game, that's all my advice). Please make the energy recovers faster. Don't do 8 minutes, just 1 energy That's so bad😏. Thankss uu. If you fix it I will promise to tell everyone to download this game & I will give the best rate🥺🥰",3,2021-09-05 08:15:00
Didik Kurniawan,Very dangerous,5,2021-09-05 05:48:37
darren lie,Saya suka game murder in the Alps,1,2021-09-05 05:18:21
Arditha Suradlino,"Aku udah download-uninstal game ini berulang kali karena ngerasa bosen saat nunggu energynya agar penuh lagi. Tolong dong developernya, ini game bagus banget, beneran, tapi isi energynya terlalu lama. Sehari cuma bisa main sekali doang masalahnya😭",5,2021-09-05 04:56:57
Vichie,Kereeeen.. belum pernah nemu game sebagus ini dan bikin penasaran sampe rela begadang... Sudaah tamat part 2 nya.. Part 3 masih coming soon..,5,2021-09-03 14:44:49
Fathia Fasabrina,"Ini game rekomen banget si, alur ceritanya bagus dan jelas, trus juga dialognya ada suara jadi gk cuman bacaan aja. Chapternya juga banyak.",5,2021-09-03 04:28:37
Sari Juliana,Kereennn.... Gamenya paling bagus utk hiden objek yg pernah saia mainkan.,5,2021-09-02 23:26:16
Oktaviani Hidayat,"Game ini adalah game yang permainannya super bagus dalam memecahkan masalah, tapi untuk energi nya tolong dipersingkat, saya sudah uninstall game ini 2x karena kelamaan mengisi energi jadi bosan saya menunggu, jadi untuk energi nya tolong dipercepat, kalau dalam bahasa, buatku not bad, yg ga bisa bahasa inggris bisa pelan pelan paham arti per arti setiap kalimat. Terima kasih",5,2021-09-01 09:43:49
Asri Handayani,Baru nemu game hidden object yang sebagus ini.. ceritanya seru banget asli.. berasa nonton film gitu jadinya.. cuma kalo pemain gratisan mah harus sabar nunggu energinya pulih.. makasih yaa..,5,2021-08-31 12:45:59
Dewi Yustikarini,Good game,4,2021-08-30 13:05:48
Dea Lavia Ayu Prastini,its very sense of horror crime!! but I love it!!!!!,5,2021-08-29 09:19:23
Sela Adv,Enjoy games,5,2021-08-29 04:30:16
Indah K,I really love this game. Hope there'll be more eps!,5,2021-08-29 02:08:43
Rosita Anggi Marbun,Bagus,5,2021-08-28 15:25:51
Yulistia Dewi,"Padahal seru banget gamenya Tapi energinya cepet habis, paling main cuma 2 menit dan lamaaa banget ngisinya",3,2021-08-28 05:49:44
Nur Tiara Sinta,Bagusss bangettt👍👍👍,5,2021-08-27 18:33:36
Jomers Nub,Cuma minus di energy charge doang,4,2021-08-27 13:47:16
Andi Anwar Bani,Kerennnn,4,2021-08-27 12:41:36
Resna Rosyariyanti,Cuma sayang tergantung energi...padahal seru,5,2021-08-27 08:03:44
ria marleni,Game menarik dan seru,5,2021-08-27 06:12:36
Syafiq Paloh,Bikin kalian yang suka game teka teki ini cocok,5,2021-08-27 03:49:00
karina tanjung,Interesting!!,5,2021-08-26 11:59:02
Araina Sinaga,Bagus,5,2021-08-26 03:00:31
Gisni Anjarrani,"games nyaa seru bgt, teka teki bgt karna nyari kasus kasus tp sayang energi nya cepet abis dan pengisian nya pun lama:(",5,2021-08-25 12:02:46
maria,"Game-nya seru, tapi ya seperti pemain lainnya, energinya aja yang kurang. Saran nih ya, energinya dipercepat, saya baru main beberapa menit sudah habis energinya. Itu aja sih, makasih :-)",4,2021-08-24 12:33:36
Athia Q. F.,Definetely 5,5,2021-08-22 23:43:24
Natalia Manek,"Gamenya seru tapi nunggu energinya lama banget... ditinggal semalaman aja energinya gak full, cuma bisa main semenit doang... kalo mau tambahan energi mesti beli & mahal banget... mending aku cari game lain aja...",2,2021-08-21 22:35:32
Septiana Erlisa,"why is it like this now? every time you play, a ""Server is not responding"" notification appears, what does that mean? even though the network, signal, and quota are also full, please fix it immediately, even so, I still like this game.",2,2021-08-21 15:19:08
Syania Oktavia,"This game is so stunning. Game ini keren banget sampe ngga sadar kalau udah nyelesaiin semua chapternya, tapi harus sabar buat nungguin ngisi energi nya. Keep it up team :)",5,2021-08-19 13:54:42
YULIA RESTIFANI,Bagusss tapi energi cepat sekali habis.. Dan isinya kembali bisa sampai 24 jam lebih,5,2021-08-19 08:28:22
Vergil Pranowo,"This is the game I've been looking for a long time. Keren gamenya, pake VA pula mantap 👍",5,2021-08-19 04:27:14
BangKhan 555,I've play it 3 months and still in chapter 2 part 3,5,2021-08-18 14:30:56
Lintang Alfarani,"Suka bngt sih sama game nya,cuman ngumpulin energy nya lama bngt,kadang lernah eror pdhal seharus nya dpt full,malah cuman dikit :<",4,2021-08-18 13:33:46
Candra Puja Pangestu,Good game. Cuma energinya susah banget full nya lama nunggunya,5,2021-08-18 08:00:44
Dea Paramiswari,"Gamenya sangat bagus, sekarang sudah bisa nonton iklan buat dapetin energynya, thanksyoui",5,2021-08-17 15:32:48
Asmiyanti Ismail,Gamenya seru👍👍👍,5,2021-08-16 22:05:04
IF-daffa fadhlurohman,Can't wait for the new chapterr...!!👍,5,2021-08-16 15:25:43
Aghni Salima Zahra,I like it,5,2021-08-16 14:55:28
dyneist,8 minutes for one energy just too long... You need 26 hour to full it...,2,2021-08-15 11:49:52
Ahmad Riyadi,Buat gamenya bagus tapi gak ada bahasa indonesianya,4,2021-08-15 03:34:17
Tri Wulandari,Good games,4,2021-08-15 00:39:31
Dika Anggara,Grapic good,5,2021-08-14 14:32:28
yatul lannah,Cukup untuk mengasah otak untuk berfikir..,4,2021-08-14 14:17:22
Marlendi Adi Putra,"Gamenya seru, coba dong energynya d banyakin dan d permudah dapatnya.",5,2021-08-14 09:40:38
Y D (YD),Agak kaku,4,2021-08-13 07:30:55
Pudji Avianto,Sangat menarik dan menegangkan,5,2021-08-13 05:59:53
Ade Sefti Deah Puspita,"Grafik bagus, banyak mini games yang seru. Jalan ceritanya seru dan menantang. Tapi sayang energinya cepat habis, dan lama sekali kalau menunggu penuh.",5,2021-08-13 01:43:14
Frandz Tyo,Game bagus,5,2021-08-12 15:54:50
Rizu Aruva,Good Game,5,2021-08-12 11:57:11
Julien Dyah Ayu Salina,I love the game,5,2021-08-12 10:02:22
Gde Anto,Baru muali,4,2021-08-10 09:40:32
he - meh,"bagus, cuman kalo bisa energinya jangan terlalu lama ngisinya",4,2021-08-10 09:38:55
Fattan R,"Cool, thanks",5,2021-08-09 13:23:40
Sasmita Khusnul,Full of riddles,5,2021-08-08 08:56:06
Nyimas Vita,"Bagus sih, tp aq mau ke cerita berikutnya nggak bisa, dia cuma tampil hijau trus keluar. Padahal SDH donlod missing content, JD aq mau uninstal",4,2021-08-08 06:09:47
fidel rosisca,Good mystery,5,2021-08-07 11:13:41
Adi Purnomo,Grafiknya luar biasa. Beda dengan game detektif biasanya.,5,2021-08-06 23:59:02
Gilang Permana,Bagus,5,2021-08-06 14:23:43
deden gumilar,Good,5,2021-08-06 08:00:37
Sarida Wati,Energi terlalu cepat habis,2,2021-08-06 00:08:40
Ory Gynl,Ok,4,2021-08-05 04:27:40
Cynthia Monicha,I like it,4,2021-08-05 04:23:02
Liszanora Ajha,Nice game,5,2021-08-04 14:03:17
A Z U R A,Love💕 & Thanks😎,5,2021-08-04 03:12:24
Thifa Hanun,"Game misteri terbagus sih ini.. jalan ceritanya JELAS dan berasa bener bener ada disituasi itu. Kekurangannya untuk player gratisan, dapet energinya cukup lama keisi full bisa 2 hari nunggu nya. Atau bisa liat iklan juga buat dapet energi. Dari segi gambar, cerita dan ada voice over nya juga keren banget deh ini yg buat. Tapi kalo bisa ya itu, energinya kalau bisa jangan terlalu lama buat full nya. Terbaik pokoknya",5,2021-08-03 16:17:05
pan zoel,good game but must a lot of energy for the finish a chapter,5,2021-08-03 13:09:35
Bastanta Maharaja,Bagus,5,2021-08-02 14:42:22
Mutiara Januar,"Love this game! I think it's fit to me —when the energy take 24+ hours to full, because I was busy all the time and get rest with this game.",5,2021-08-02 10:01:51
Endang Mujirahayu,Mana dong yg the dada murders nya.....,4,2021-08-01 13:54:02
Altha Swita,give me more energy,2,2021-08-01 12:12:03
Zerox Amagix,"Such A Well Crafted Game, I Can Feel The Passion That Been Poured, Although Some Of My ""Sale"" That I Gained Recently (20 Out Of 420) Just Disappear Right After I Quit My Game To Give You Guys A Review, Overall It's A Blast For A ""Free Game""",5,2021-07-31 14:11:17
Giska Yuli Asari,"New episodenya dong, aq udah selesai semuanya",5,2021-07-31 12:22:44
Mayang Ramontika,I download this game because jin and hattie,5,2021-07-31 02:35:42
Naila kalinda p.p,Kecer,5,2021-07-30 07:42:11
Luhtitisari,seru banget story nyaaa,5,2021-07-30 02:20:28
Haifa Dyandra,Energi tolong diubah lebih awet,5,2021-07-29 20:11:49
TonYuk YTTV,"Seru bangeettt, adrenalin juga terpacu. Grafiknya bagus 👍🏻👍🏻",5,2021-07-29 17:21:54
Nurul Audia Febria Hardiyanti,energinya tolong diperbaiki lagi ya,2,2021-07-29 14:07:04
qzee channel,Segini dulu ya soalnya nguras energi padahal bagus gamenya,3,2021-07-29 07:57:24
Nur Azizah,sangat bagusss Berasa kayak lagi nonton film sambil main gamee,5,2021-07-28 13:24:00
Anggraeny Tarot,Good,5,2021-07-27 12:45:12
Mima Marcedyma,"Cepat kali habis energi, memaksa untuk membeli energi",5,2021-07-27 11:45:42
Q' Lim,"try first ,",4,2021-07-27 01:00:20
Farodhifah Zahroh,good,5,2021-07-25 14:21:37
Lazuardi Choiri,"Ceritanya sangat seru, lebih baik daripada gim kriminal lainnya. Hanya sedikit kurang di masalah energi yang sedikit lama untuk muncul.",5,2021-07-25 01:33:20
19_Jazinda Brigita Aydisfrina,"Gamenya sudah seru sekali, Tapi yang sangat di sayangkan adalah energi nya yg cepat habis. Tapi gamenya sangat menarik untuk di mainkan, silahkan untuk yang ingin mendownload. Game ini sangat bagus.",4,2021-07-24 12:25:43
Heebi Yommy,Good gameplay,5,2021-07-24 06:45:23
najwa aulia zahira,Mls nunggu energi 🥲💔,1,2021-07-24 06:44:42
Hanielle Stevy,"Gamenya sudah bagus grafik dan animasinya bener2 cakep banget, tapi energinya lama terisi, jadi gak seru kalo harus nunggu lama :(",5,2021-07-24 05:34:11
Cahyane Aulia,Alur ceritanya bagus,5,2021-07-24 04:53:25
Mey Marlissa,Suka sekai keren,5,2021-07-24 04:43:22
Melvick 23,"pelit bgt ama energi, najis dah",1,2021-07-24 03:12:31
Raeka Kristina,"kasi bintang 2 dulu, ini gimana si ngisi energy nya selain topup, soalnya yg free udh gabisa lagi. game nya seru bgt padahal tp baru main sbntar energy nya udah abis aja. nungguin semaleman juga cuma baru keisi 90 energy. nyari² barang hidden juga cuma sedikit doang dpt nya paling cuma 30 energy. tolong developer di perbanyak dan di permudah buat dapetin energy nya ya!!!! suka bgt pdhl!!!!",2,2021-07-24 02:25:06
Novi Masyanti,Good,5,2021-07-23 15:48:03
AREZ Barus,So hard to get energy,3,2021-07-23 15:10:50
ayu rahniz,👍👍👍,5,2021-07-23 13:45:13
jonjojo,Game ini sangat bagus😁,5,2021-07-23 06:11:55
Anggun SM,Sukaaa,5,2021-07-22 16:05:59
Mahardita Hideko,"Meskipun susah susah gampang, tapi seru dan ceritanya menarikk. Sayangnya boros banget nyawanya huhu over all bagus",4,2021-07-22 10:51:27
Restika EastWinds,Recharge energy nya harusnya lebih cepat terisi :(,4,2021-07-22 07:35:18
Christy Simanjuntak,susah dapatkan energi,2,2021-07-22 06:35:09
Ricka Dewi,Amazing,5,2021-07-22 04:19:34
Marwa Fauziyah,BIKIN LAGI SEASON 2 NYA! GAMENYA MANTEP BANGET,5,2021-07-21 23:17:38
Yoceline Natalia,Very good game,5,2021-07-21 13:49:09
Alvino Yakob,Cool,1,2021-07-21 12:02:58
Devi Kharisma Putri,please do something about the energy recharge:(,3,2021-07-21 10:00:57
dinda aditya,Cool,5,2021-07-21 06:57:12
solid lighter,Keren,5,2021-07-20 23:42:12
Fallen One,Q binggung utk stage awalny sehabis minum teh trs ngapain digame ini ada yng tau tdk kasih tau donk hrs kemana,1,2021-07-20 15:33:29
Trisna Sari,Gamenya seru dan mengasyikan. Tpi energinya cepat habis dan lama buat terisi penuh bisa sampe berhari hari,4,2021-07-20 09:45:29
Okki Prayoga,Gamenya bagus seperti detektif cuma semua permainan harus menunggu untuk mengisi tenaga dan bisa juga membeli itu yang mengganggu menurutku,5,2021-07-20 07:58:10
Ika Rini Marlina,"Suka game teka teki dengan ada ceritanya,tapi sayang kalo aku mau dpt energi dengan tidak bermain seharian atau menonton video iklan...",3,2021-07-20 05:21:55
Layli wan 000,Nice,5,2021-07-20 04:44:02
Inda Rahmawati,Keren,5,2021-07-19 14:19:38
Amanda Amelinda,"Ku kasih 5 kalo energy nya diisi lebih cepat. Asik banget padahal gamenya, tapi ngisi energy lama banget sampe full. Nunggunya seharian",4,2021-07-19 08:50:46
Lulu Octaviani,Energi nya lama banget keisi padahal game nya seru banget,5,2021-07-19 08:38:57
Irene Simarmata,Good game,5,2021-07-19 07:07:19
Syahrul Gunawan,"Buset kaco ini game padahal seru sama alur ceritanya. Tapi yang bikin ngeselin, ENERGY 3 HARI BARU KEISI PENUH!!! KACO BANGET njeng!",1,2021-07-19 06:01:59
Im Pine,"This game is great but, 5 energy per item its too much. I hope you can reduce it.",5,2021-07-18 19:08:41
Vera,Keren.. Energinya dong.. Jgn pelit2,5,2021-07-18 12:41:38
Aguss Renggana,Cukup bagus...,5,2021-07-18 07:54:20
dewi nuranjani,SUkaa banget sama game nya,5,2021-07-18 06:49:14
Rahma Aulia Lubis,Hey apakah ada yg bs membantuku? Setiap hari pasti disuruh tunggu 15 mnt terus udah dari pertama kali download,1,2021-07-17 13:55:16
Aristyo Palgunadi,"Tolong buat dev, energy di tampilin di player screen biar yg main bs lebih hati² dlm mencari item quest. Dan untuk bahasa di adakan bahasa indonesia.",4,2021-07-17 12:42:21
Mega Andriawati,Kereennnn,5,2021-07-17 09:33:07
7. Asy Asyifa al walyatalataf,Bagus,5,2021-07-17 08:52:11
Tri Wibowo,2 bintang aja... Energinya boros banget....cepet habis Jadi gak asik.....,2,2021-07-17 07:50:18
Risna Yunia,Ini ko chapter 2 nya GK bisa di buka ya dia ijoo semuaa padahal udh di download -_- huhu gimn nih,5,2021-07-17 04:04:45
ARI ANY,Agak bikin ngantuk sih.. Tapi oke ko..,5,2021-07-16 15:20:11
Bana Nikeeunike,sebenernya gamenya bagus banget.. tp kok energinya cepat sekali habis. dan lama skli terisi kembali.. jadi bosan.. br klik 2 kali energi udh abis,2,2021-07-16 15:16:53
Ivan Maulana,"Sangat menyenangkan, saya menikmati setiap bagian dari game ini",5,2021-07-16 11:36:25
Syarifudin,Good,4,2021-07-16 00:55:17
devi karina damayanti,Energy nya cepat habis..,3,2021-07-15 13:20:40
52. Anggi Lidya (22011213),Keren,5,2021-07-15 07:31:35
inez kitajima,love it,5,2021-07-14 19:19:43
Bhagas Phaty,So far is good,5,2021-07-14 07:14:03
Fhiio A.M,Interesting,5,2021-07-14 04:51:41
Dian Efitri,"Aqu edit lagi ulasannya..sekarang aqu kasih 5 bintang..sumpah..ini game keren banget. Ikut deg²an..dengan alur ceritanya. Makasih untuk developernya, yaa meski pemakaian energinya boros,, tapi udah bisa nambah energi dengan menonton video yg tersedia, sehingga bisa lanjut main lagi.cuma saran aja..untuk pemakaian energinya bisa dong ya diskon gitu..biar hemat.😁",5,2021-07-13 16:42:16
Victor Lim,Mantap,5,2021-07-13 14:22:58
Khalifa Adiwijaya,What a nice game,5,2021-07-13 12:50:50
Citra Putri Pertiwi,"Game nya bagus, seru.. Tp kok udh masuk chapter 2, malah gambarnya warna hijau terus blank & keluar sendiri. Jadi ga bisa dimainin lagi. Gimana nih solusinya. Padahal suka banget loh sm game nya",3,2021-07-13 12:48:02
Fajar Ramdan,Server not responding anjing,1,2021-07-13 11:38:11
Santri Alim,Saiful,5,2021-07-13 08:40:00
Y P,Energy nyaa lama banget ngisinyaa,4,2021-07-13 02:29:44
Keiko Richo,Oks,5,2021-07-12 23:58:36
Nting Tutt,Mantap,5,2021-07-12 18:53:47
Fahrul Hidayat,I like it sooooo much,5,2021-07-12 17:48:27
nrl_ ltf,Really great game,5,2021-07-12 13:20:34
Jonslens,Perfect and beautiful,5,2021-07-11 16:21:39
Muslim Muslim,Batas sekitar Sbsjfxhs Hsjdjfjf Jxjdjndd,5,2021-07-11 14:25:44
Dwi Nurhayati,Syka bagus hanya saya tidak ada bahasa indonesianya,4,2021-07-11 13:56:54
Mamang Rahman Channel,Mantapp,5,2021-07-11 13:37:56
Adhitya Febriansyah,Ok,3,2021-07-11 13:20:35
Iqbal Moro,Mantap game ini cari alat bantu. Kunci gitarnya dll,5,2021-07-11 11:01:53
Ereh Is good boy,Keren + seru parah❤️,5,2021-07-11 08:17:58
sashi kirana pidada,Loding lama kak,4,2021-07-11 04:27:59
MODDARS GAMING,Bagus banget tapi tolong untuk game nya buat subtitle indonesianya hahah,5,2021-07-11 03:41:50
CrYRyoth,Keren Bangett,5,2021-07-11 01:47:28
Haifa Yada,good game,5,2021-07-10 13:33:21
Asep Kosasih,Amazing...,5,2021-07-10 11:15:33
Siti Hariratul,Keren cuma energi cepet abissnya bete,5,2021-07-10 08:59:38
Samuel,WHEN PART 3 PLISSS I SO EXITED FOR PART 3 I JUST PASS PART 1 AND PART 2 SO I REALY REALY WANT PART 3 THAT WILL BE GREAT STORY GGGGGGGGGGGGGGGGGGGGGG,5,2021-07-10 07:52:02
Gibran Fakhri ADHD,Mantap. Gibran main.kartu dan dll,5,2021-07-10 07:26:33
Azizah Sp,Suka banget gamenya kalau kalian susah cari gambar karena terlalu kecil. bisa kok diperbesar,5,2021-07-10 06:59:03
Adam Bros,Nice game,5,2021-07-10 06:02:35
Yusup putra,Nice game,5,2021-07-10 05:53:13
Terry Shanderan,Grafisnya sangat bagus dan ada cerita yang membuat penasaran untuk terus mencari akhir cerita..,5,2021-07-10 04:50:31
Ayu Febriani,"Bagus banget jujur. Gambarnya, animasinya, tantangannya bagus semua. Sayang bangettt energinya cepet banget abiss. Mungkin bisa di pertimbangkan buat dapet energi lebih mudah",4,2021-07-10 01:56:06
Joseph S KC Pangururan,"Tidak bagus, game nya terlalu mahal,.. maaf gk ada duit.",1,2021-07-09 23:39:58
Adi Hartono,Bagus,5,2021-07-09 10:30:14
Riskiyah 03,to much energy bye.... uninstalll,1,2021-07-09 04:12:30
Wawan Hadi,Gamenya bagus cuman kendala dengan energinya cepat habis tolong hilangin energinya,1,2021-07-08 08:14:55
Kedai Ngemil,Yes bgt l i nih game,5,2021-07-07 19:25:59
Ryan Payne Ardiansyah,"This game is so great so far, but when The Dada Killer will release?",5,2021-07-07 18:52:52
Fendik Suryanto,"Gamenya super seru,tiap chap bikin mengasah otak. Grafiknya juga seru",5,2021-07-06 13:46:47
DEWI SISILIA YOLANDA,Fantastic,5,2021-07-06 06:46:36
Asni Rasyid,Buat apa dimainkan kalo boros di energi,1,2021-07-06 00:28:32
Siti Ati Zulfia,Good game,4,2021-07-05 11:59:17
Rosalia Fergie Stephanie,"Nunggu energinya bikin kezel, pliss di season berikutnya plg ndak bikin mini challenges untuk dapet separuh energi tambahan. Secara visual n story ini game dah top banget.",4,2021-07-05 09:46:01
HorrorKiki,The graphic is amazing! Though the stamina run out fast and it take long to regenerate.,4,2021-07-05 06:51:16
Siti Sri Aminah,"Bagus banget alur nya trus game nya juga asik, ga cuma hidden object tapi juga ada yang lain, Dan story telling nya selain ada dubbing nya juga ada komik nya .cuma kurang nya buat kalian yang bahasa inggeris nya masih kurang maen ini pasti rada pusing karna object nya tu yang rada kuno trus lagi dari story telling nya juga rada berat dan banyak logat nya. Jadi ini game bagus tapi buat yang kurang pro b inggeris nya agak kurang si.Jadi ini lebih ke pengalaman aja buka keretik",4,2021-07-04 06:01:22
dwi wahyu rinaningsih,Permainan yang melatih kejelian dan kesabaran. Sangat menyenangkan,5,2021-07-03 23:54:17
Denny Febryo,Mantap,5,2021-07-03 21:14:02
abel lizer,Mantap,5,2021-07-03 15:56:49
Vera Tjandra,"Gamenya bagus tp energinya lama banget penuh... Dan sekali pilih barang kurang 5, ada event makan energi 20-30... Energi cpt habis tp terkumpulnya lama... Tolong diperbaiki lah!",3,2021-07-03 13:31:55
A4_24 _Tri A. WARDANI,Pelit energi,2,2021-07-03 09:27:16
Yunaidi Nugroho,Ok ziibb,5,2021-07-03 03:52:49
Abdul Aziz,Mantap jiwa dah pokoknya,5,2021-07-03 03:02:45
Sofa Basalamah,"Gamenya bagus, grafiknya juga. Cuma energinya cepet abis",4,2021-07-03 02:11:44
Khansya Sainah,Energy cepet abis,4,2021-07-02 23:04:59
Zulfa Nailatur rahmah,Baguss.......,4,2021-07-02 14:54:38
Ilmi Nur Kholisa,Boros banget energinya.,1,2021-07-02 13:31:54
Haji Hammri,Kapan update yang sesi terbaru ???? Ayoooo 🙏🇲🇨,5,2021-07-02 02:25:27
Grestyana Tri Wulandari,"Padahal da happy lagi...ehhh sad lagi nungguin ""dadakiller"" ga kelar2",2,2021-07-01 15:59:56
Cindy M,"Gilee energynya dikit amatt, kyk numpang masuk doang abis tu ga bisa main lagi wkwkw Mana ngisinya lama.... Sehari blum full.... Masih untung ketolong grafiknya yg bagus",3,2021-07-01 03:07:42
muria setyawatie,Sejauh ini msh ok buat permainan games nya,5,2021-06-30 16:09:05
Reetha Cantiq,"Chapter 2 nya ngeblank, keluar sendiri... Alur cerita sih bagus banget, tapi energi harus diisi terus....",3,2021-06-30 13:05:45
Tuppence Win,"Good, so far",5,2021-06-30 11:18:03
Dimas Chandra Maulana,"Bagus sih gamenya, tp sayang penggunaqn energi terlalu besar tp reload nya lama banget..butuh wqktu 1 hari lebih utk full energi.",3,2021-06-30 08:28:41
