tidak_baku,kata_baku
disiniii,disini
disituasi,di situasi
disni,disini
disproportionately,tidak proporsional
dissapointed,kecewa
distinctive,khas
disupirin,disopiri
ditayangin,ditayangkan
ditengah,di tengah
ditengah2,ditengah-tengah
ditungguu,ditunggu
ditutupin,ditutupi
dituutup,ditutup
diurusin,diurusi
dket2in,dekat-dekati
dkuburnya,dikuburnya
dl,dulu
dl,download
dlam,dalam
dll,dan lain-lain
dlltapi,dan lain-lain tapi
dlm,dalam
dlu,dulu
dluan,duluan
dluar,diluar
dlulebih,dulu lebih
dmainin,dimainin
dmana,dimana
dmn,dimana
dmna,dimana
dn,dan
dng,dengan
dngan,dengan
dngerin,mendengarkan
dnk,dong
do,di
do,melakukan
doa2,doa-doa
doaang,doang
doang,saja
doangam,doang
doangg,saja
doangkelebihan,saja kelebihan
doank,doang
doank,saja
doeloe,dulu
does,melakukan
doesnt,tidak
dolo,dulu
done,selesai
dongayo,dong ayo
dongdan,dong dan
dongenerginya,dong energinya
dongg,dong
donggg,dong
dongggg,dong
donk,dong
donkk,dong
donks,dong
donlod,unduh
donlotya,unduhnya
dont,jangan
donwlod,unduh
donx,dong
doong,dong
doonk,dong
dooong,dong
dosa2mu,dosa-dosamu
dosaa,dosa
dosaaaaaaaaaa,dosa
dosax,dosanya
dowbload,unduh
dowload,unduh
download,unduh
downloading,mengunduh
downloaduninstal,unduh uninstal
downlot,unduh
dpake,dipakai
dpat,dapat
dperbaikibiar,diperbaiki biar
dpetin,dapetin
dpke,dipakai
dpn,depan
dposisi,diposisi
dpotong,dipotong
dpt,dapat
dptkan,dapatkan
dptnya,dapatnya
dr,dari
drained,terkuras
dramaa,drama
drew,menggambar
dri,dari
drii,dari
drimana,darimana
drimnanya,darimananya
dripada,daripada
dripda,daripada
drmn,darimana
drpada,daripada
drpd,daripada
dsana,disana
dsar,dasar
dsini,disini
dsna,disana
dsni,disini
dsr,dasar
dsrny,dasarnya
dssi,disisi
dstu,disitu
dteng,datang
dtg,datang
dtggu,ditunggu
dtgkan,datangkan
dtinggl,ditinggal
dtnggu,ditunggu
dtunggu,ditunggu
dua2nya,dua-duanya
duaa,dua
duanyaa,duanya
due,karena
duetin,duet
duhh,duh
duhhh,duh
duhhhhh,duh
duit,uang
dulua,dulu a
duludapet,dulu dapat
dulukesanya,dulu kesannya
dulurrr,dulur
dulusambil,dulu sambil
duluu,dulu
duluuu,dulu
dumsss,dong
dung,dong
dunk,dong
duper,super
dureen,duren
durhaka2,durhaka-durhaka
duuhh,duh
duuhhh,duh
duuhhhhh,duh
duuuhh,duh
duuuhhh,duh
dwh,deh
dwsa,dewasa
dy,dia
dya,dia
ea,ya
each,masing-masing
eakyu,waktu
easy,mudah
edaaaan,edan
edaaan,edan
edaaann,edan
edannn,edan
edit,sunting
editannn,editan
eeeeh,eh
eeeehhhh,eh
eehhh,eh
eey,eh
ehh,eh
ehhh,eh
either,salah satu
eksprsi,ekspresi
elaaaahhhh,alah
elahh,alah
elo,lo
elo2,lo-lo
eloo,lo
elu,lu
elus2,elus-elus
ema,emak
emak2,emak-emak
emakx,emaknya
emang,memang
emangnya,memangnya
emank,memang
emeessss,gemas
emeezzz,gemas
emeshh,gemas
emesshhh,gemas
emessss,gemas
emg,memang
emk,emak
emnag,memang
emng,memang
emngnya,memangnya
emnknya,memangnya
empty,kosong
emty,kosong
enakkkk,enak
enakkkkk,enak
enaktapi,enak tapi
end,akhir
eneegy,energi
enegy,energi
energibya,energinya
energicoba,energi coba
energies,energi-energi
energigame,energi game
energiitu,energi itu
energinnya,energinya
energiny,energinya
energinyaapakah,energinya apakah
energinyaboros,energinya boros
energinyajd,energinya jadi
energinyq,energinya
energipadahal,energi padahal
energisekian,energi sekian
energix,energinya
energiy,energinya
energy,energi
energyadding,energi adding
energybecause,energi because
energyga,energi ga
energyny,energinya
energynya,energinya
energyq,energi
energys,energi
energyso,energi
enernya,energinya
engaging,menarik
engga,tidak
"engga""",tidak-tidak
enggak,tidak
engk,tidak
english,Inggris
enit,enak
enjoy,menikmati
enjoyed,menikmati
enjoying,menikmati
enk,enak
enough,cukup
entahhh,entah
entertaining,menghibur
entr,entar
epe,apa
epic,epik
episodegara,episode gara
episodes,episode-episode
eps,episode
eror,error
escape,lolos
especially,terutama
etc,dan lain-lain
euyyyyy,euy
even,bahkan
event,acara
ever,pernah
every,setiap
everyday,setiap hari
everyone,semua orang
everything,segala sesuatu
everytime,setiap kali
ex,mantan
excellent,sangat baik
except,kecuali
exception,pengecualian
excitedi,excited
exciting,menarik
exhiled,exiled
exiled,terbuang
exited,keluar
expect,mengharapkan
expensive,mahal
experience,pengalaman
explor,eksplorasi
expresi,ekspresi
express,ekspres
extra,tambahan
eyke,aku
fabulous,luar biasa
factory,pabrik
fakta2,fakta-fakta
fakultass,fakultas
family,keluarga
fans,fan
fans,penggemar
fans2,fan-fan
fantastic,fantastis
far,jauh
fast,cepat
faster,lebih cepat
fastly,dengan cepat
fatanik,fanatik
fav,favorit
favoriteeee,favorit
favt,favorit
feb,februari
feedback,umpan balik
feel,rasa
feels,merasa
fellnya,perasaannya
fever,demam
few,beberapa
fhoto,foto
fhotonya,fotonya
fi,di
fikiran,pikiran
fill,isi
fillm,film
film,film
filmny,filmnya
filmnya,filmnya
find,temukan
finding,menemukan
fine,baik
finish,selesai
finished,selesai
first,pertama
fit,cocok
five,lima
fix,perbaiki
fixed,diperbaiki
flat,datar
flim.a,filmnya
flm,film
focus,fokus
follow,ikuti
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",homofon
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",reduplikasi
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",modifikasi vokal
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",abreviasi
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",zeroisasi
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",anaptiksis
"FOLLOW? MY IG: @algaeslovania_premiumskincare1  WA:081210238087""",monoftongisasi
for,untuk
force,paksa
forced,dipaksa
forgotten,terlupakan
fort,benteng
forward,maju
fotbar,foto bareng
"foto""",foto-foto
foto2,foto-foto
foto2nya,foto-fotonya
fotoin,memfoto
fotony,fotonya
found,ditemukan
freaking,sangat
free,gratis
freeze,beku
frestasiii,prestasi
from,dari
frustating,frustasi
frustrates,memfrustasi
fto,foto
fto2,foto-foto
fucek,fucek
full,penuh
fullmalah,penuh malah
fullnya,penuhnya
fun,menyenangkan
funn,menyenangkan
funy,lucu
future,masa depan
g,tidak
ga,tidak
gaa,tidak
gaada,tidak ada
gabakal,tidak bakal
gabisa,tidak bisa
gada,tidak ada
gadiss,gadis
gafik,grafik
gag,tidak
gagahx,gagahnya
gaharus,tidak harus
gain,dapatkan
gained,didapatkan
gaje,tidak jelas
gajelas,tidak jelas
gak,tidak
gakk,tidak
gakkk,tidak
gakpapa,tidak apa-apa
gakuat,tidak kuat
gakusah,tidak usah
gakwad,tidak kuat
gam,game
gamau,tidak mau
gambarin,gambarkan
gamealur,game alur
gamebut,game tapi
gamedeveloper,game developer
gamee,game
gameee,game
gameeeeee,game
gameenyaaa,game nya
gameever,game ever
gamei,game
gamemany,game many
gameny,game nya
gamenya,game nya
gamenyaa,game nya
gamenyacuma,game nya cuma
gamenyapetualangan,game nya petualangan
gamenyateratur,game nya teratur
gamenycuma,game nya cuma
gameplaynya,gameplay nya
gameplaynyaa,gameplay nya
gameplaytapi,gameplay tapi
gamesbut,games tapi
gamesekian,games sekian
gamesnya,games nya
gamestill,game still
gametambahin,game tambahkan
gametp,game tapi
gameuninstal,game uninstal
gamex,gamenya
gamnya,game nya
gamw,game
ganaik,ganaik
ganbar,gambar
gane,game
gangguin,mengganggu
gans,ganteng
ganteeeeng,ganteng
ganteng2,ganteng-ganteng
gantengg,ganteng
gantenggg,ganteng
gantengkuuuuuu,gantengku
gantengnyaaaa,gantengnya
ganteung,ganteng
gantheng,ganteng
ganti'kn,menggantikan
gantiin,menggantikan
gantng,ganteng
gantweng,ganteng
gapake,tidak pakai
gapap,tidak apa-apa
gapernah,tidak pernah
gaprgi,tidak pergi
gapunya,tidak punya
gara'',gara-gara
"gara""",gara-gara
gara2,gara-gara
garagara,gara-gara
garemin,garami
garfis,grafik
gartis,gratis
garuk2,garuk-garuk
gasabar,tidak sabar
gasalah,tidak salah
gasih,tidak sih
gasuka,tidak suka
gatau,tidak tau
gataunya,tidak taunya
gatcha,gacha
gausa,tidak usah
gausah,tidak usah
gave,memberi
gawl,gaul
gawul,gaul
gax,tidak
gayannxa,gayanya
gayany,gayanya
gayax,gayanya
gbs,tidak bisa
gda,tidak ada
gde,gede
geam,game
gebleg,geblek
gede,besar
gedeg,gedek
geeelaakk,gila
geetoo,begitu
gegra,gegara
geh,gih
gehh,gih
gem,game
gema,game
gemay,gemas
geme,game
gemeeezzzz,gemas
gemeessss,gemas
gemensnya,game
gemes,gemas
gemesiin,menggemaskan
gemesin,menggemaskan
gemesinnnnn,menggemaskan
gemesnya,gemasnya
gemess,gemas
gemesshh,gemas
gemesshzzzzhzzhzhzhsjssjs,gemas
gemesss,gemas
gemesyak,gemas ya
gemez,gemas
gemezz,gemas
gemezzzz,gemas
gemmeeezzz,gemas
gems,game
genduut,gendut
geneeee,begini
genggg,geng
genittt,genit
genre,genre
gerak,gerak
gerakin,gerakin
geratis,gratis
germany,jerman
get,dapat
getting,mendapatkan
geuliiiiiiis,geulis
gewlaaaaa,gila
gg,tidak
gga,tidak
gifted,berbakat
giitu,begitu
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilaaaaaa,gila
gilaaakk,gila
gilak,gila
gilakkk,gila
gilakkkkk,gila
gilakkkkkk,gila
gile,gila
gilee,gila
gils,gila
gilsss,gila
gilzz,gila
gim,game
gimana,bagaimana
gimanaa,bagaimana
gimanaaaa,bagaimana
gimn,bagaimana
gimna,bagaimana
gingsungny,gingsulnya
gini,begini
ginian,beginian
ginii,begini
giniii,begini
giniin,beginikan
ginting,ganteng
giti,begitu
gitu,begitu
gitu2,begitu-gitu
gituaku,begitu aku
gituan,begituan
gitubiar,begitu biar
gituh,begitu
gituin,begitukan
gitulah,begitulah
gituu,begitu
gituuu,begitu
gituuuuu,begitu
give,beri
gk,tidak
gkhianati,mengkhianati
gkk,tidak
gkkan,tidak akan
gksalah,tidak salah
gksi,tidak sih
glembeeeer,gelambir
gmana,bagaimana
gmanapun,bagaimanapun
gmau,tidak mau
gmenya,game nya
gmn,bagaimana
gmna,bagaimana
gmpg,gampang
gn,begini
gndakan,gandakan
gni,begini
gnii,begini
gnti,ganti
gnyngka,tidak menyangka
go,pergi
goblokkk,goblok
god,tuhan
goes,pergi
going,pergi
gokiiill,gila
gokil,gila
gokill,gila
gokilll,gila
gokillllll,gila
gokilnya,gilanya
goncengin,boncengkan
gone,pergi
gonna,akan
good,bagus
goodddd,bagus
goodgame,good game
goodgoodgood,bagus bagus bagus
goods,barang
goodtp,bagus tapi
goooddddddd,bagus
gosh,astaga
gosipin,menggosipkan
gossip2.an,gosip-gosipan
gpp,tidak apa-apa
gr2,gara-gara
gra2,gara-gara
graaatiiiis,gratis
grafic,grafik
graficnya,grafiknya
grafikartdan,grafik art dan
grafisstorygameplaynyasound,grafis story gameplaynya sound
grammar,tata bahasa
graphic,grafik
graphicbut,grafik tapi
graphicnya,grafiknya
graphics,grafis
graphis,grafis
grapic,grafik
gratisnyamakasi,gratisnya makasi
gratiss,gratis
gratisss,gratis
greaaaaatttt,great
greaaatt,great
gread,great
great,bagus
greedy,serakah
green,hijau
greet,sapa
greged,greget
grgr,gara-gara
grunya,gurunya
gt,begitu
gt,tapi
gtau,tidak tau
gthu,begitu
gtu,begitu
"gtu""",begitu-gitu
"gtu""an",begitu-gituan
gtu2,begitu-gitu
gtuh,begitu
gtuu,begitu
gtw,tidak tau
gua,saya
guaa,gua
guaa,saya
guaaaaaaa,gua
guanteng,ganteng
gud,bagus
gue,saya
guee,gue
gueee,gue
gueeeee,gue
guess,tebak
gunaa,guna
guw,gue
guysss,guys
guyssss,guys
gw,gue
gw,saya
gwselain,saya selain
gx,tidak
gya,gaya
habiskelamaan,habis kelamaan
habismohon,habis mohon
habisngumpulin,gerak
habiss,habis
habissharus,habis harus
habisss,habis
habistapi,habis tapi
hadapin,menghadapi
haddeh,aduh
hadeeehhh,aduh
hadeeeuuuhhh,haduh
hadeehh,aduh
hadeeuh,aduh
hadeeuuhhhh,haduh
hadehhh,haduh
hadeuh,aduh
hadeuuh,aduh
hadeuuhhhh,aduh
hadirr,hadir
hadirrr,hadir
haduh,aduh
haduuuh,aduh
haii,hai
haiii,hai
hal,hal
hal2,hal-hal
halahh,alah
halangin,halangi
half,setengah
halllo,halo
hallo,halo
hallooo,halo
halooo,halo
halow,halo
hampasss,hempas
hancurin,menghancurkan
hancuuuuuy,hancur
happened,terjadi
happening,terjadi
"happi""",hepi-hepi
happy,senang
hapusin,hapuskan
haragain,menghargai
hard,sulit
hardbut,sulit tapi
hargs,harga
hari2,hari-hari
haru,harus
harusnya,harusnya
has,telah
haseh,haseh
hasilnyaaa,hasilnya
haslnya,hasilnya
hat,hati
hate,benci
hati.a,hatinya
"hati""",hati-hati
hati2,hati-hati
hatii,hati
hatiiii,hati
hattie,hati
have,punya
havent,belum
having,memiliki
hay,hai
haya,hanya
hayal,khayal
hayalanku,khayalanku
hayooo,hayo
hayukk,hayo
hayuu,hayo
hbis,habis
hbs,habis
hbsnonton,habis nonton
hdk,hendak
hdp,hidup
hdpn,hadapan
hdpnya,hidupnya
hdup,hidup
hebaat,hebat
hebatt,hebat
hedeuuhh,aduh
heeee,hai
hehh,eh
heii,hai
heir,pewaris
hello,halo
helloexcuse,halo permisi
helloo,halo
hellooooooo,halo
helo,halo
helooooo,halo
help,bantu
hemat,hemat
hematt,hemat
hempaass,hempas
her,dia
hgga,hingga
hianatin,khianati
hidden,tersembunyi
hiden,tersembunyi
hidiyah,hidayah
hiduppp,hidup
hidupppp,hidup
hidupx,hidupnya
hiduupppp,hidup
hiii,hai
hijaabbb,hijab
hijabb,hijab
hijap,hijab
hikss,hikss
hilalnya,hilangnya
hilangin,menghilangkan
hilangin,hilangkan
hilangv,hilang
hill,bukit
himana,bagaimana
hingga,hingga
hint,petunjuk
hiraukn,hiraukan
hiri,hari
historical,sejarah
hmpir,hampir
hndak,hendak
hndk,hendak
hngga,hingga
hny,hanya
hnya,hanya
hokiii,hoki
home,rumah
hope,harapan
horornya,horor nya
horror,horor
horrornya,horor nya
hospital,rumah sakit
hospitalpsychiatric,rumah sakit jiwa
hotak,botak
hotx,hotnya
hour,jam
hours,jam-jam
how,bagaimana
however,namun
hpkarena,hp karena
hpus,hapus
hr,hari
hri,hari
hrs,harus
hrsny,harusny
hrsnya,harusnya
hrus,harus
hrusnya,harusnya
hslnya,hasilnya
ht,hati
hub,hubungi
hub,menghubungi
hub,hubungan
hubngan,hubungan
hubunggi,hubungi
huftttberuntung,huft beruntung
hujatann,hujatan
hy,hai
i,saya
iaa,ya
iaa,iya
iam,saya
ibliss,iblis
ibu2,ibu-ibu
ibuk2,ibu-ibu
idamann,idaman
idiot,idiot
idolaa,idola
idoolaaa,idola
idung,hidung
idungnya,hidungnya
idup,hidup
idupnya,hidupnya
if,jika
igtlah,ingatlah
ihh,ih
ihhh,ih
ihhhh,ih
ihhhhh,ih
iih,ih
iihh,ih
iiih,ih
iiihh,ih
iiihhhh,ih
iiihhhhh,ih
iiii,ih
iiiihhhhhj,ih
iiiiiiiii,ih
iiiiiiiiii,ih
iive,saya
ijap,ijab
ikh,ih
iklanitu,iklan itu
iklannya,iklannya
ikut,ikut
ikut2,ikut-ikut
ikut2an,ikut-ikutan
ikuti,ikuti
ikutin,mengikuti
ikutin,ikuti
ilang,hilang
ilang-in,hilangkan
"ilang""",hilang-hilang
ilang2,hilang-hilang
ilang2an,hilang-hilangan
ilike,saya suka
ill,sakit
ilmh,ilmu
ilove,saya suka
im,saya
imagination,imajinasi
immediately,segera
imoet,imut
impresive,impresif
improved,ditingkatkan
imut2,imut-imut
imutt,imut
imutttttt,imut
imuttzz,imut
imuutt,imut
imuuttt,imut
in,ini
in,di dalam
income,penghasilan
increase,meningkat
increased,meningkat
incredible,luar biasa
indahhh,indah
indefendet,independen
indo,indonesia
indoneaia,indonesia
indonesiaaa,indonesia
indonesiaah,indonesia
infpyunnnn,ampun
ingeet,ingat
inget,ingat
ingetin,mengingatkan
inggat,ingat
inggrisny,inggrisnya
inghinn,ingin
ingi,ingin
inginkn,inginkan
ingt,ingat
inia,ini
inicman,ini cuman
iniehh,ini
inih,ini
inihahaha,ini hahaha
inihhh,ini
inii,ini
iniii,ini
iniiiii,ini
iniiiiiiiiiiiiiii,ini
inini,ini ini
iniw,ini
inni,ini
inside,di dalam
insonniaaa,insomnia
install,instal
intelligence,kecerdasan
interaction,interaksi
interactive,interaktif
interctive,interaktif
interest,minat
interested,tertarik
interesting,menarik
interrect,interaksi
intersting,menarik
interupted,terganggu
into,ke dalam
intresting,menarik
intrigued,tertarik
intriguing,menarik
investigationthank,investigasi terima kasih
invite,undang
iooo,lo
iriiiii,iri
is,adalah
iseng2,iseng-iseng
isnt,bukan
issue,masalah
istimewa,istimewa
istimewaaa,istimewa
istiqamah,istikamah
istiqomah,istikamah
istiqomahhh,istikamah
it,itu
items,item-item
itentertaining,itu menghibur
ithu,itu
its,nya
itthanks,itu terima kasih
ituh,itu
itumahh,itumah
itungan,hitungan
itupun,itu pun
ituu,itu
ituuu,itu
ituuuu,itu
ityl,itil
iu,itu
ive,saya telah
iy,iya
iyaa,iya
iyaaa,iya
iyaaaa,iya
iyaap,iya
iyaappps,iya
iyah,iya
iyak,iya
iyap,iya
iyh,iya
iyha,iya
iyuh,ih
iyuuhhh,ih
iyuuuhhhh,ih
j,saja
ja,saja
ja,iya
jaaangan,jangan
jaadii,jadi
jadii,jadi
jadiin,jadikan
jadilh,jadilah
jadinya,jadinya
jadu,jadi
jadulnya,jaman dulunya
jafi,jadi
jagain,jaga
jagain,menjaga
jagan,jangan
jahatin,menjahati
jakety,jaketnya
"jalan""nya",jalan-jalannya
jalan2,jalan-jalan
jalanani,menjalani
jalanin,menjalani
jalanin,jalankan
jamam,jaman
jaman,zaman
jaman2,jaman-jaman
jaman2nya,jaman-jamannya
jan,jangan
janga,jangan
"jangan""",jangan-jangan
jangan2,jangan-jangan
janjutin,lanjutkan
janka,jangka
jaoooh,jauh
jari2,jari-jari
jatoh,jatuh
jatuhnyaa,jatuhnya
jauhh,jauh
jauhhh,jauh
jauhin,jauhi
jauuhhh,jauh
jawabanny,jawabannya
jd,jadi
jd'y,jadinya
jdi,jadi
jdii,jadi
jdulnya,judulnya
jdwl,jadwal
"jelas""",jelas-jelas
jelas2,jelas-jelas
jelase,jelas
jelashh,jelas
jelasssss,jelas
"jelek""in",menjelek-jelekkan
jelek2,jelek-jelek
jelekin,menjelekkan
jelex,jelek
jels,jelas
jendes,janda
jendess,janda
jendesss,janda
jendral,jenderal
jeniuss,jenius
jerewi,jerawat
jg,juga
jga,juga
jgan,jangan
jgk,juga
jgn,jangan
jgn2,jangan-jangan
jh,saja
jidad,jidat
jilbabny,jilbabnya
jilbabnyaah,jilbabnya
jilbabnye,jilbabnya
jilbb,jilbab
jing,anjing
jirr,anjir
jirrrr,anjir
jiwagood,jiwa good
jjur,jujur
jk,jika
jkrta,jakarta
jkt,jakarta
jlbb,jilbab
jlek,jelek
jln,jalan
jln2,jalan-jalan
jls2,jelas-jelas
jmnya,jamnya
jmpaaaa,jumpa
jnagn,jangan
jnda,janda
jng,jangan
jngan,jangan
jngn,jangan
jngnn,jangan
jntuk,jenuh
job,pekerjaan
jodohny,jodohnya
jodohx,jodohnya
jogetin,berjoget
jombsss,jomblo
jorokkkk,jorok
jorookknya,joroknya
joss,bagus
josss,bagus
joy,suka
jrang,jarang
jrnk,jarang
jt,juta
judulnyaa,judulnya
jugaa,juga
jugaaa,juga
jugaakk,juga
jugak,juga
jugauntuk,juga untuk
jungkiir,jungkir
just,hanya
justeru,justru
jwab,jawab
jwb,jawab
jwban,jawaban
jya,iya
k,kak
k,ke
k',kak
ka,kak
kaa,kak
kaaa,kak
kaaaa,kak
kaaaaa,kak
kaaaaaaaaaakkkkkkkkkkk,kak
kaaaaaann,kan
kaaakk,kak
kaaan,kan
kaak,kak
kaakaaaa,kakak
kaakk,kak
kaan,kan
kaannnn,kan
kaasian,kasihan
kacauuuu,kacau
kacian,kasihan
kaciiaann,kasihan
kaco,kacau
kafeh,kafe
kaga,kagak
kagak,tidak
kageeet,kaget
kageet,kaget
kaitannha,kaitannya
kaj,kak
kak,kakak
kaka,kakak
kakakaaaaaaaaaaaaaa,kakak
kakakgh,kakak
kakakkk,kakak
kakakny,kakaknya
kakakuuu,kakakku
kakanga,kakaknya
kakanya,kakaknya
kakau,kalau
kakk,kak
kakk,kakak
kakkk,kak
kakkkk,kak
kakkkkk,kak
kalahnye,kalahnya
kale,kali
kaleee,kali
kaliaan,kalian
kaliann,kalian
kaliannn,kalian
kaliannnnnm,kalian
kaliannnnnn,kalian
kaliannnnnnn,kalian
kalii,kali
kaliii,kali
kaliiii,kali
kaliiiiiii,kali
kaliiin,kalian
kalik,kali
kalli,kali
kallo,kalau
kalo,kalau
kalogak,kalau tidak
kalok,kalau
kaloo,kalau
kalsel,kalimantan selatan
kalu,kalau
kalw,kalau
kam,kamu
kamiiii,kami
kamo,kamu
kampungn,kampungan
kamu2,kamu-kamu
kamunyaa,kamunya
kamuu,kamu
kamuuuu,kamu
kamyuhhh,kamu
kana,kanan
kanapa,kenapa
kancang,kencang
kangeeeeeeeeeeennnnn,kangen
kangeeeeeeeeennnnnnnn,kangen
kangeeeeeeeenya,kangen
kangeeeeennn,kangen
kangeeeennn,kangen
kangeeeennnnn,kangen
kangeeerrn,kangen
kangeen,kangen
kangeenn,kangen
kangem,kangen
kangenn,kangen
kangennn,kangen
kangennnn,kangen
kangennnnn,kangen
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kangennnnnn,kangen
kangennnnnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kanggen,kangen
kanggggg,kang
kann,kan
kannn,kan
kanpenuh,kan penuh
kapaan,kapan
kapan2,kapan-kapan
kapann,kapan
kapn,kapan
kareno,karena
karir.a,karirnya
karmaaa,karma
karna,karena
kartunin,kartun
"karya""",karya-karya
karya2,karya-karya
kasar2,kasar-kasar
kasi,kasih
kasiaannn,kasihan
kasian,kasihan
kasiannn,kasihan
kasiatnya,khasiatnya
kasihn,kasihan
kasiian,kasihan
kassus,kasus
"kata""",kata-kata
kata2,kata-kata
kata2nya,kata-katanya
kata2nyaaa,kata-katanya
katanyaa,katanya
kate,kata
kauuuu,kau
kawinin,mengawini
kaya,kayak
kaya'a,kayanya
kayaa,kaya
kayahhh,kaya
kayak,seperti
kayakk,kayak
kayanye,kayanya
kayaq,kayak
kayax,kayak
kbahagiaan,kebahagiaan
kbawa,terbawa
kberkahn,keberkahan
kbetulan,kebetulan
kbiasaan,kebiasaan
kcantikan,kecantikan
kcewa,kecewa
kcil,kecil
kcwa,kecewa
kdang,kadang
kdg,kadang
kdg2,kadang-kadang
kdng,kadang
kdua,kedua
keak,kayak
kebagi,terbagi
"kebaikan""y",kebaikannya
kebalas,terbalas
kebangetak,kebangetan
kebanggan,kebanggaan
kebarat2an,kebarat-baratan
kebawa,terbawa
kebayang,terbayang
kebayanyaa,kebayanya
keberpa,keberapa
kebnyak'an,kebanyakan
kebongkar,terbongkar
kebuka,terbuka
kebukaaa,terbuka
kebukti,terbukti
kebykan,kebanyakan
kecantikanga,kecantikannya
kece2,kece-kece
keceee,kece
keche,kece
keciil,kecil
keciill,kecil
kecik,kecil
"kecil""",kecil-kecil
kecptan,kecepatan
kecr,kece
kedengeran,kedengaran
kedepan,ke depan
kedepanny,ke depannya
kedepannya,ke depannya
kedokk,kedok
kedpan,kedepan
keduaa,kedua
keedaannya,keadaannya
keee,ke
keeeeeren,keren
keeeerrrreeeennnnnnnnn,keren
keeep,pertahankan
keep,pertahankan
keinget,teringat
keisi,terisi
keisinya,isinya
kejadianny,kejadiannya
kejahatn,kejahatan
kejawab,terjawab
kejuu,keju
kek,kayak
kek,seperti
kekgini,kayak begini
kekk,kayak
keknya,kayaknya
kekuranganny,kekurangannya
kel,keluarga
kelahuran,kelahiran
kelaluan,kelakuan
kelamaanklo,kelamaan kalau
kelamaantolong,kelamaan tolong
kelanjutannyasegera,kelanjutannya segera
kelar,selesai
kelas'a,kelasnya
kelebihankekurangannyasemua,kelebihan kekurangannya semua
kelebihannyaada,kelebihannya ada
keles,kali
keliatan,kelihatan
keliatannya,kelihatannya
kellen,kalian
keluarin,mengeluarkan
keluarin,keluarkan
kelus,kali
kemakan,termakan
kemana,ke mana
kemaren,kemarin
kemariin,kemarin
kemarn,kemarin
kembaliin,kembalikan
kembaq,kembar
kemn,kemana
kemuh,kamu
kenaliiin,kenalkan
kenalin,mengenalkan
kenalin,kenalkan
kenalin,memperkenalkan
kenapaa,kenapa
kenape,kenapa
kenceng,kencang
kencng,kencang
kencqng,kencang
kenyataan2,kenyataan-kenyataan
kepad,kepada
kepake,terpakai
kepaksa,terpaksa
kepd,kepada
kepda,kepada
kepeleset,kepleset
kepelesett,terpeleset
kepikir,terpikir
kepingin,pengin
kepoh,kepo
kepoin,mengepoi
kepoin,kepoi
kepoin,kepo
kepppoin,kepoi
kepuasa,kepuasan
keputihn,keputihan
keq,kek
keq,kayak
kerasa,terasa
kerasin,kerasi
kerass,keras
kereeeeen,keren
kereeeeennn,keren
kereeeeennnn,keren
kereeeen,keren
kereeeennnnnn,keren
kereeen,keren
kereeennnn,keren
kereen,keren
kereenn,keren
kereennn,keren
kereennnn,keren
"keren""",keren-keren
keren2,keren-keren
kerenn,keren
kerennn,keren
kerennnn,keren
kerennnnn,keren
kerensebulan,keren sebulan
keretik,kritik
kerjaan,pekerjaan
kerreeen,keren
kerrennn,keren
kerrrrennnn,keren
kesalahanny,kesalahannya
kesampean,kesampaian
kesel,kesal
keseluruh,keseluruhan
kesinii,kesini
kesiniii,kesini
ketaatanny,ketaatannya
ketara,tertara
ketarik,tertarik
ketauan,ketahuan
ketawaa,ketawa
ketawain,mentertawakan
ketawakkkk,ketawa
ketebak,tertebak
ketemuin,ketemu
ketemuuu,ketemu
ketipu,tertipu
ketolong,tertolong
ketuker,tertukar
kezel,kesal
kgak,kagak
kgeeeen,kangen
kgn,kangen
kh,kah
kha,kah
khadiran,kehadiran
khadirannya,kehadirannya
khan,kan
kharismanya,karismanya
khdpn,kehidupan
khidupan,kehidupan
kidding,bercanda
killer,pembunuh
kind,jenis
kinda,agak
kira2,kira-kira
kirain,mengira
kirain,kira
kiriii,kiri
kirimin,mengirimi
kitaa,kita
kitaaa,kita
kite,kita
kiya,kita
kk,kakak
kka,kakak
kkak,kakak
kki,kaki
kklau,kalau
kl,kalau
klahiran,kelahiran
klakuan,kelakuan
klamaan,kelamaan
klas,kelas
klau,kalau
klauu,kalau
klen,kalian
klepek2,klepek-klepek
klg,keluarga
klhran,kelahiran
kli,kali
klian,kalian
kliatan,kelihatan
kliatanya,kelihatannya
klihatan,kelihatan
klk,kelak
klkuan,kelakuan
kll,kalau
klmbutan,kelembutan
kln,kalian
klo,kalau
klok,kalau
kloop,klop
klow,kalau
klrga,keluarga
klu,kalau
kluar,keluar
kluarga,keluarga
klw,kalau
km,kamu
km,kami
kmana,kemana
kmana2,kemana-mana
kmar,kamar
kmaren,kemarin
kmariiin,kemarin
kmarin,kemarin
kmauan,kemauan
